Wavelength Flux
5183.3076171875 43665.251708984375
5184.5576171875 43448.40361022949
5185.8076171875 43729.66892242432
5187.0576171875 43948.36943817139
5188.3076171875 43790.46292114258
5189.5576171875 43452.61991119385
5190.8076171875 43528.74513244629
5192.0576171875 44004.987854003906
5193.3076171875 45186.98558807373
5194.5576171875 45661.072677612305
5195.8076171875 46349.28788757324
5197.0576171875 46412.1649017334
5198.3076171875 45930.27921295166
5199.5576171875 44688.403007507324
5200.8076171875 43640.37162017822
5202.0576171875 42459.72805023193
5203.3076171875 39980.1117477417
5204.5576171875 37626.965980529785
5205.8076171875 37541.235496520996
5207.0576171875 38879.61678314209
5208.3076171875 38824.561950683594
5209.5576171875 38566.94654083252
5210.8076171875 38929.71153259277
5212.0576171875 41585.08661651611
5213.3076171875 44002.79539489746
5214.5576171875 44914.95225524902
5215.8076171875 45262.21675109863
5217.0576171875 45178.69290924072
5218.3076171875 43534.50827026367
5219.5576171875 41119.1632232666
5220.8076171875 38913.54636383057
5222.0576171875 39449.968200683594
5223.3076171875 42532.59915161133
5224.5576171875 44155.77801513672
5225.8076171875 44916.98371887207
5227.0576171875 45934.70886230469
5228.3076171875 45553.77235412598
5229.5576171875 44937.787048339844
5230.8076171875 45747.747650146484
5232.0576171875 47744.764739990234
5233.3076171875 49659.5983581543
5234.5576171875 51552.18716430664
5235.8076171875 53535.77249145508
5237.0576171875 54012.975997924805
5238.3076171875 52517.5803527832
5239.5576171875 50480.86064147949
5240.8076171875 47675.35366821289
5242.0576171875 45934.22092437744
5243.3076171875 44184.97961425781
5244.5576171875 43239.207122802734
5245.8076171875 43351.97734832764
5247.0576171875 43757.75452423096
5248.3076171875 45008.57424926758
5249.5576171875 46626.285415649414
5250.8076171875 47013.16520690918
5252.0576171875 47232.5832901001
5253.3076171875 45438.10415649414
5254.5576171875 45545.56803894043
5255.8076171875 46909.802337646484
5257.0576171875 47663.84348297119
5258.3076171875 48093.18276977539
5259.5576171875 47844.54780578613
5260.8076171875 47098.32068634033
5262.0576171875 45094.79795074463
5263.3076171875 42892.98146057129
5264.5576171875 42274.08206939697
5265.8076171875 43758.62194824219
5267.0576171875 45677.85400390625
5268.3076171875 46904.12515258789
5269.5576171875 46913.0651550293
5270.8076171875 45727.63980102539
5272.0576171875 45455.45616912842
5273.3076171875 45916.12715911865
5274.5576171875 47305.72236633301
5275.8076171875 48275.8634185791
5277.0576171875 48748.49685668945
5278.3076171875 48554.218086242676
5279.5576171875 48921.0387878418
5280.8076171875 49014.47632598877
5282.0576171875 49513.124908447266
5283.3076171875 49005.26301574707
5284.5576171875 47988.76679992676
5285.8076171875 46934.204734802246
5287.0576171875 46925.814292907715
5288.3076171875 47290.303771972656
5289.5576171875 47451.67434692383
5290.8076171875 47790.4899597168
5292.0576171875 47752.219146728516
5293.3076171875 47863.89767456055
5294.5576171875 48772.414291381836
5295.8076171875 49892.61853027344
5297.0576171875 50017.02812194824
5298.3076171875 48954.141510009766
5299.5576171875 47411.499435424805
