Title: Infrared Luminosities and Aromatic Features in the 24 micron 
       Flux Limited Sample of 5MUSES  
Authors: Wu Y., Helou G., Armus L., Cormier D., Shi Y., Dale D., Dasyra K., 
         Smith J.D., Papovich C., Draine B., Rahman N., Stierwalt S., Fadda D.,
         Lagache G., Wright E.L. 
Table: General Properties of the Sample
================================================================================
Byte-by-byte Description of file: apj368264t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---        ID      Source 5MUSES identification 
  12- 37 A26    ---        Name    Source 5MUSES name
  39- 40 I2     h          RAh     Hour of Right Ascension (J2000) 
  42- 43 I2     min        RAm     Minute of Right Ascension (J2000) 
  45- 48 F4.1   s          RAs     Second of Right Ascension (J2000) 
      50 A1     ---        DE-     Sign of the Declination (J2000)
  51- 52 I2     deg        DEd     Degree of Declination (J2000) 
  54- 55 I2     arcmin     DEm     Arcminute of Declination (J2000) 
  57- 60 F4.1   arcsec     DEs     Arcsecond of Declination (J2000) 
  62- 66 F5.3   ---        z       Redshift 
      68 I1     ---      f_z       Flag on z (1)  
  70- 73 F4.1   mJy        F24     Spitzer/MIPS 24 micron flux density  
      75 A1     ---      l_EW6.2   Limit flag on EW6.2
  76- 81 F6.3   um         EW6.2   ? Equivalent width of 6.2 micron PAH band
  83- 87 F5.3   um       e_EW6.2   ? Uncertainty in 6.2{mu}m EW 
  89- 93 F5.2   [solLum]   logLIR  Log of IR luminosity
  95- 98 F4.2   [solLum] e_logLIR  Uncertainty in logLIR
5MUSES-060 5MUSES_J022507.43-041835.7 02 25 07.4 -04 18 35.8 0.105 2  6.8   0.632 0.062 10.56 0.05 
5MUSES-061 5MUSES_J022508.33-053917.7 02 25 08.3 -05 39 17.7 0.293 2  9.6   0.025 0.002 11.55 0.05 
5MUSES-062 5MUSES_J022522.59-045452.2 02 25 22.6 -04 54 52.2 0.144 2 10.1   0.719 0.007 11.25 0.02 
5MUSES-063 5MUSES_J022536.44-050011.5 02 25 36.4 -05 00 11.6 0.053 1 13.7   0.709 0.051 10.77 0.11 
5MUSES-064 5MUSES_J022548.21-050051.5 02 25 48.2 -05 00 51.5 0.150 1  8.0   0.297 0.051 11.19 0.04 
5MUSES-065 5MUSES_J022549.78-040024.6 02 25 49.8 -04 00 24.7 0.044 2 58.5   0.438 0.009 10.64 0.03 
5MUSES-066 5MUSES_J022559.99-050145.3 02 26 00.0 -05 01 45.3 0.205 2  5.7   0.916 0.027 11.39 0.04 
5MUSES-067 5MUSES_J022602.92-045306.8 02 26 02.9 -04 53 06.8 0.056 2  6.4   0.669 0.028 10.13 0.03 
5MUSES-068 5MUSES_J022603.61-045903.8 02 26 03.6 -04 59 03.8 0.055 2 31.4   0.634 0.047 10.59 0.04 
5MUSES-069 5MUSES_J022617.43-050443.4 02 26 17.4 -05 04 43.5 0.057 2 48.7   0.168 0.005 10.77 0.04 
5MUSES-070 5MUSES_J022637.79-035841.6 02 26 37.8 -03 58 41.7 0.070 2 13.5   0.377 0.019 10.43 0.04 
